,TREE_NUMBER,DESCRIPTOR
10886,C05.651.807,Rhabdomyolysis
10887,C05.651.807.628,Myoglobinuria
10888,C05.651.869,Tendinopathy
10889,C05.651.869.435,Elbow Tendinopathy
10890,C05.651.869.435.500,Tennis Elbow
10891,C05.651.869.653,Enthesopathy
10892,C05.651.869.762,Giant Cell Tumor of Tendon Sheath
10893,C05.651.869.762.500,"Synovitis, Pigmented Villonodular"
10894,C05.651.869.816,Tendon Entrapment
10895,C05.651.869.816.200,De Quervain Disease
10896,C05.651.869.816.800,Trigger Finger Disorder
10897,C05.651.869.870,Tenosynovitis
10898,C05.660,Musculoskeletal Abnormalities
10899,C05.660.077,Arthrogryposis
10900,C05.660.142,Campomelic Dysplasia
10901,C05.660.207,Craniofacial Abnormalities
10902,C05.660.207.103,22q11 Deletion Syndrome
10903,C05.660.207.103.500,DiGeorge Syndrome
10904,C05.660.207.207,Cleidocranial Dysplasia
10905,C05.660.207.219,Costello Syndrome
10906,C05.660.207.231,Craniofacial Dysostosis
10907,C05.660.207.231.427,Hallermann's Syndrome
10908,C05.660.207.231.480,Hypertelorism
10909,C05.660.207.231.576,Mandibulofacial Dysostosis
10910,C05.660.207.231.576.410,Goldenhar Syndrome
10911,C05.660.207.240,Craniosynostoses
10912,C05.660.207.240.100,Acrocephalosyndactylia
10913,C05.660.207.325,Donohue Syndrome
10914,C05.660.207.410,Holoprosencephaly
10915,C05.660.207.525,LEOPARD Syndrome
10916,C05.660.207.532,Loeys-Dietz Syndrome
10917,C05.660.207.536,Megalencephaly
10918,C05.660.207.536.500,Hemimegalencephaly
10919,C05.660.207.540,Maxillofacial Abnormalities
10920,C05.660.207.540.229,Dentofacial Deformities
10921,C05.660.207.540.460,Jaw Abnormalities
10922,C05.660.207.540.460.185,Cleft Palate
10923,C05.660.207.540.460.457,Micrognathism
10924,C05.660.207.540.460.606,Pierre Robin Syndrome
10925,C05.660.207.540.460.655,Prognathism
10926,C05.660.207.540.460.827,Retrognathia
10927,C05.660.207.620,Microcephaly
10928,C05.660.207.620.500,Porencephaly
10929,C05.660.207.690,Noonan Syndrome
10930,C05.660.207.700,Orofaciodigital Syndromes
10931,C05.660.207.707,Plagiocephaly
10932,C05.660.207.707.624,"Plagiocephaly, Nonsynostotic"
10933,C05.660.207.720,Platybasia
10934,C05.660.207.850,Rubinstein-Taybi Syndrome
10935,C05.660.207.925,Silver-Russell Syndrome
10936,C05.660.386,Funnel Chest
10937,C05.660.417,Gastroschisis
10938,C05.660.449,"Hip Dislocation, Congenital"
10939,C05.660.551,Klippel-Feil Syndrome
10940,C05.660.585,"Limb Deformities, Congenital"
10941,C05.660.585.174,Arachnodactyly
10942,C05.660.585.262,Brachydactyly
10943,C05.660.585.350,Ectromelia
10944,C05.660.585.512,"Lower Extremity Deformities, Congenital"
10945,C05.660.585.512.380,"Foot Deformities, Congenital"
10946,C05.660.585.512.380.813,Talipes
10947,C05.660.585.512.380.813.063,Clubfoot
10948,C05.660.585.512.380.813.125,Equinus Deformity
10949,C05.660.585.512.380.813.250,Flatfoot
10950,C05.660.585.512.380.813.500,Talipes Cavus
10951,C05.660.585.512.380.875,Tarsal Coalition
10952,C05.660.585.600,Polydactyly
10955,C05.660.585.600.374,Pallister-Hall Syndrome
10956,C05.660.585.600.750,Short Rib-Polydactyly Syndrome
10957,C05.660.585.620,Proteus Syndrome
10958,C05.660.585.800,Syndactyly
10959,C05.660.585.800.100,Acrocephalosyndactylia
10960,C05.660.585.800.428,Fraser Syndrome
10961,C05.660.585.800.756,Poland Syndrome
10962,C05.660.585.984,Thanatophoric Dysplasia
10963,C05.660.585.988,"Upper Extremity Deformities, Congenital"
10964,C05.660.585.988.425,"Hand Deformities, Congenital"
10965,C05.660.745,Pectus Carinatum
10966,C05.660.906,Synostosis
10967,C05.660.906.181,Antley-Bixler Syndrome Phenotype
10968,C05.660.906.364,Craniosynostoses
10969,C05.660.906.364.100,Acrocephalosyndactylia
10970,C05.660.906.819,Syndactyly
10971,C05.660.906.819.100,Acrocephalosyndactylia
10972,C05.660.906.819.428,Fraser Syndrome
10973,C05.660.906.819.756,Poland Syndrome
10974,C05.660.906.909,Tarsal Coalition
10975,C05.799,Rheumatic Diseases
10976,C05.799.056,"Arthritis, Juvenile"
10977,C05.799.114,"Arthritis, Rheumatoid"
10978,C05.799.114.219,Caplan Syndrome
10979,C05.799.114.389,Felty Syndrome
10980,C05.799.114.683,Rheumatoid Nodule
10981,C05.799.114.728,Rheumatoid Vasculitis
10982,C05.799.114.774,Sjogren's Syndrome
10983,C05.799.114.870,"Still's Disease, Adult-Onset"
10984,C05.799.321,Fibromyalgia
10985,C05.799.414,Gout
10986,C05.799.414.410,"Arthritis, Gouty"
10987,C05.799.440,"Hyperostosis, Sternocostoclavicular"
10988,C05.799.613,Osteoarthritis
10989,C05.799.613.400,"Osteoarthritis, Hip"
10990,C05.799.613.500,"Osteoarthritis, Knee"
10991,C05.799.613.750,"Osteoarthritis, Spine"
10992,C05.799.720,Polymyalgia Rheumatica
10993,C05.799.825,Rheumatic Fever
10994,C05.799.825.566,Rheumatic Nodule
10995,C05.799.825.823,Wissler's Syndrome
10996,C06,Digestive System Diseases
10997,C06.130,Biliary Tract Diseases
10998,C06.130.120,Bile Duct Diseases
10999,C06.130.120.120,Bile Duct Neoplasms
11000,C06.130.120.120.280,Common Bile Duct Neoplasms
11001,C06.130.120.123,Biliary Atresia
11002,C06.130.120.127,Choledochal Cyst
11003,C06.130.120.127.500,Caroli Disease
11004,C06.130.120.135,Cholestasis
11005,C06.130.120.135.150,"Cholestasis, Extrahepatic"
11006,C06.130.120.135.250,"Cholestasis, Intrahepatic"
11007,C06.130.120.135.250.125,Alagille Syndrome
11008,C06.130.120.135.250.250,"Liver Cirrhosis, Biliary"
11009,C06.130.120.135.812,Mirizzi Syndrome
11010,C06.130.120.200,Cholangitis
11011,C06.130.120.200.110,"Cholangitis, Sclerosing"
11012,C06.130.120.250,Common Bile Duct Diseases
11013,C06.130.120.250.098,Biliary Dyskinesia
11014,C06.130.120.250.098.800,Sphincter of Oddi Dysfunction
11015,C06.130.120.250.174,Choledocholithiasis
11016,C06.130.120.250.280,Common Bile Duct Neoplasms
11017,C06.130.140,Bile Reflux
11018,C06.130.320,Biliary Tract Neoplasms
11019,C06.130.320.120,Bile Duct Neoplasms
11020,C06.130.320.120.280,Common Bile Duct Neoplasms
11021,C06.130.320.401,Gallbladder Neoplasms
11022,C06.130.409,Cholelithiasis
11023,C06.130.409.178,Cholecystolithiasis
11024,C06.130.409.267,Choledocholithiasis
11025,C06.130.409.633,Gallstones
11026,C06.130.564,Gallbladder Diseases
11027,C06.130.564.263,Cholecystitis
11028,C06.130.564.263.249,Acalculous Cholecystitis
11029,C06.130.564.263.500,"Cholecystitis, Acute"
11030,C06.130.564.263.500.500,Emphysematous Cholecystitis
11031,C06.130.564.332,Cholecystolithiasis
11032,C06.130.564.332.500,Gallstones
11033,C06.130.564.401,Gallbladder Neoplasms
11034,C06.130.825,Postcholecystectomy Syndrome
11035,C06.198,Digestive System Abnormalities
11036,C06.198.025,Anorectal Malformations
11037,C06.198.050,"Anus, Imperforate"
11038,C06.198.125,Biliary Atresia
11039,C06.198.184,Choledochal Cyst
11040,C06.198.184.500,Caroli Disease
11041,C06.198.257,Diaphragmatic Eventration
11042,C06.198.330,Esophageal Atresia
11043,C06.198.439,Hirschsprung Disease
11044,C06.198.719,Intestinal Atresia
11045,C06.198.859,Meckel Diverticulum
11046,C06.198.929,Median Arcuate Ligament Syndrome
11047,C06.267,Digestive System Fistula
11048,C06.267.150,Biliary Fistula
11049,C06.267.250,Esophageal Fistula
11050,C06.267.250.725,Tracheoesophageal Fistula
11051,C06.267.375,Gastric Fistula
11052,C06.267.550,Intestinal Fistula
11053,C06.267.550.600,Rectal Fistula
11054,C06.267.550.600.650,Rectovaginal Fistula
11055,C06.267.775,Pancreatic Fistula
11056,C06.301,Digestive System Neoplasms
11057,C06.301.120,Biliary Tract Neoplasms
11058,C06.301.120.250,Bile Duct Neoplasms
11059,C06.301.120.250.250,Common Bile Duct Neoplasms
11060,C06.301.120.401,Gallbladder Neoplasms
11061,C06.301.371,Gastrointestinal Neoplasms
11062,C06.301.371.205,Esophageal Neoplasms
11063,C06.301.371.205.500,Esophageal Squamous Cell Carcinoma
11064,C06.301.371.308,Gastrointestinal Stromal Tumors
11065,C06.301.371.411,Intestinal Neoplasms
11066,C06.301.371.411.184,Cecal Neoplasms
11067,C06.301.371.411.184.290,Appendiceal Neoplasms
11068,C06.301.371.411.307,Colorectal Neoplasms
11069,C06.301.371.411.307.090,Adenomatous Polyposis Coli
11070,C06.301.371.411.307.090.500,Gardner Syndrome
11071,C06.301.371.411.307.180,Colonic Neoplasms
11072,C06.301.371.411.307.180.800,Sigmoid Neoplasms
11073,C06.301.371.411.307.190,"Colorectal Neoplasms, Hereditary Nonpolyposis"
11074,C06.301.371.411.307.790,Rectal Neoplasms
11075,C06.301.371.411.307.790.040,Anus Neoplasms
11076,C06.301.371.411.307.790.040.040,Anal Gland Neoplasms
11077,C06.301.371.411.445,Duodenal Neoplasms
11078,C06.301.371.411.501,Ileal Neoplasms
11079,C06.301.371.411.512,Immunoproliferative Small Intestinal Disease
11080,C06.301.371.411.523,Jejunal Neoplasms
11081,C06.301.371.767,Stomach Neoplasms
11082,C06.301.371.883,Zollinger-Ellison Syndrome
11083,C06.301.623,Liver Neoplasms
11084,C06.301.623.040,"Adenoma, Liver Cell"
11085,C06.301.623.160,"Carcinoma, Hepatocellular"
11086,C06.301.623.460,"Liver Neoplasms, Experimental"
11087,C06.301.761,Pancreatic Neoplasms
11088,C06.301.761.249,"Adenoma, Islet Cell"
11089,C06.301.761.249.500,Insulinoma
11090,C06.301.761.500,"Carcinoma, Islet Cell"
11091,C06.301.761.500.124,Gastrinoma
11092,C06.301.761.500.249,Glucagonoma
11093,C06.301.761.500.500,Somatostatinoma
11094,C06.301.761.500.750,Vipoma
11095,C06.301.761.750,"Carcinoma, Pancreatic Ductal"
11096,C06.301.761.875,Pancreatic Intraductal Neoplasms
11097,C06.301.780,Peritoneal Neoplasms
11098,C06.405,Gastrointestinal Diseases
11099,C06.405.117,Esophageal Diseases
11100,C06.405.117.102,Barrett Esophagus
11101,C06.405.117.119,Deglutition Disorders
11102,C06.405.117.119.500,Esophageal Motility Disorders
11103,C06.405.117.119.500.204,CREST Syndrome
11104,C06.405.117.119.500.432,Esophageal Achalasia
11105,C06.405.117.119.500.450,"Esophageal Spasm, Diffuse"
11106,C06.405.117.119.500.484,Gastroesophageal Reflux
11107,C06.405.117.119.500.484.500,Laryngopharyngeal Reflux
11108,C06.405.117.119.500.484.500.500,Respiratory Aspiration of Gastric Contents
11109,C06.405.117.119.500.742,Plummer-Vinson Syndrome
11110,C06.405.117.136,"Diverticulosis, Esophageal"
11111,C06.405.117.240,Esophageal and Gastric Varices
11112,C06.405.117.260,Esophageal Atresia
11113,C06.405.117.316,Esophageal Cyst
11114,C06.405.117.367,Esophageal Fistula
11115,C06.405.117.367.725,Tracheoesophageal Fistula
11116,C06.405.117.430,Esophageal Neoplasms
11117,C06.405.117.430.500,Esophageal Squamous Cell Carcinoma
11118,C06.405.117.468,Esophageal Perforation
11119,C06.405.117.468.524,Mallory-Weiss Syndrome
11120,C06.405.117.544,Esophageal Stenosis
11121,C06.405.117.620,Esophagitis
11122,C06.405.117.620.209,Eosinophilic Esophagitis
11123,C06.405.117.620.420,"Esophagitis, Peptic"
11124,C06.405.205,Gastroenteritis
11125,C06.405.205.099,Appendicitis
11126,C06.405.205.200,Cholera Morbus
11127,C06.405.205.265,Colitis
11128,C06.405.205.265.115,"Colitis, Ischemic"
11129,C06.405.205.265.173,"Colitis, Microscopic"
11130,C06.405.205.265.173.500,"Colitis, Collagenous"
11131,C06.405.205.265.173.750,"Colitis, Lymphocytic"
11132,C06.405.205.265.231,"Colitis, Ulcerative"
11133,C06.405.205.265.767,Proctocolitis
11134,C06.405.205.282,Diverticular Diseases
11135,C06.405.205.282.500,Diverticulitis
11136,C06.405.205.282.500.250,"Diverticulitis, Colonic"
11137,C06.405.205.282.500.438,"Diverticulosis, Esophageal"
11138,C06.405.205.282.500.625,"Diverticulosis, Stomach"
11139,C06.405.205.282.750,Diverticulum
11140,C06.405.205.282.750.500,"Diverticulum, Colon"
11141,C06.405.205.282.750.625,"Diverticulum, Esophageal"
11142,C06.405.205.282.750.625.900,Zenker Diverticulum
11143,C06.405.205.282.750.687,"Diverticulum, Stomach"
11144,C06.405.205.282.750.750,Meckel Diverticulum
11145,C06.405.205.331,Dysentery
11146,C06.405.205.331.312,"Dysentery, Amebic"
11147,C06.405.205.331.479,"Dysentery, Bacillary"
11148,C06.405.205.462,Enteritis
11149,C06.405.205.462.249,Duodenitis
11150,C06.405.205.462.624,Ileitis
11151,C06.405.205.462.624.500,Pouchitis
11152,C06.405.205.596,Enterocolitis
11153,C06.405.205.596.700,"Enterocolitis, Necrotizing"
11154,C06.405.205.596.750,"Enterocolitis, Neutropenic"
11155,C06.405.205.596.800,"Enterocolitis, Pseudomembranous"
11156,C06.405.205.663,Esophagitis
11157,C06.405.205.663.209,Eosinophilic Esophagitis
11158,C06.405.205.663.420,"Esophagitis, Peptic"
11159,C06.405.205.697,Gastritis
11160,C06.405.205.697.394,"Gastritis, Atrophic"
11161,C06.405.205.697.410,"Gastritis, Hypertrophic"
11162,C06.405.205.731,Inflammatory Bowel Diseases
11163,C06.405.205.731.249,"Colitis, Ulcerative"
11164,C06.405.205.731.500,Crohn Disease
11165,C06.405.205.798,Mucositis
11166,C06.405.205.865,Proctitis
11167,C06.405.205.865.790,Proctocolitis
11168,C06.405.205.932,Typhlitis
11169,C06.405.227,Gastrointestinal Hemorrhage
11170,C06.405.227.400,Hematemesis
11171,C06.405.227.600,Melena
11172,C06.405.227.700,Peptic Ulcer Hemorrhage
11173,C06.405.249,Gastrointestinal Neoplasms
11174,C06.405.249.205,Esophageal Neoplasms
11175,C06.405.249.205.500,Esophageal Squamous Cell Carcinoma
11176,C06.405.249.308,Gastrointestinal Stromal Tumors
11177,C06.405.249.411,Intestinal Neoplasms
11178,C06.405.249.411.184,Cecal Neoplasms
11179,C06.405.249.411.184.290,Appendiceal Neoplasms
11180,C06.405.249.411.307,Colorectal Neoplasms
11181,C06.405.249.411.307.090,Adenomatous Polyposis Coli
11182,C06.405.249.411.307.090.500,Gardner Syndrome
11183,C06.405.249.411.307.180,Colonic Neoplasms
11184,C06.405.249.411.307.180.800,Sigmoid Neoplasms
11185,C06.405.249.411.307.190,"Colorectal Neoplasms, Hereditary Nonpolyposis"
11186,C06.405.249.411.307.790,Rectal Neoplasms
11187,C06.405.249.411.307.790.040,Anus Neoplasms
11188,C06.405.249.411.307.790.040.040,Anal Gland Neoplasms
11189,C06.405.249.411.445,Duodenal Neoplasms
11190,C06.405.249.411.501,Ileal Neoplasms
11191,C06.405.249.411.512,Immunoproliferative Small Intestinal Disease
11192,C06.405.249.411.523,Jejunal Neoplasms
11193,C06.405.249.767,Stomach Neoplasms
11194,C06.405.249.883,Zollinger-Ellison Syndrome
11195,C06.405.469,Intestinal Diseases
11196,C06.405.469.110,Cecal Diseases
11197,C06.405.469.110.207,Appendicitis
11198,C06.405.469.110.417,Cecal Neoplasms
11199,C06.405.469.110.417.290,Appendiceal Neoplasms
11200,C06.405.469.110.708,Typhlitis
11201,C06.405.469.158,Colonic Diseases
11202,C06.405.469.158.093,Chilaiditi Syndrome
11203,C06.405.469.158.188,Colitis
11204,C06.405.469.158.188.115,"Colitis, Ischemic"
11205,C06.405.469.158.188.173,"Colitis, Microscopic"
11206,C06.405.469.158.188.173.500,"Colitis, Collagenous"
11207,C06.405.469.158.188.173.750,"Colitis, Lymphocytic"
11208,C06.405.469.158.188.231,"Colitis, Ulcerative"
11209,C06.405.469.158.188.767,Proctocolitis
11210,C06.405.469.158.272,"Colonic Diseases, Functional"
11211,C06.405.469.158.272.217,Colonic Pseudo-Obstruction
11212,C06.405.469.158.272.608,Irritable Bowel Syndrome
11213,C06.405.469.158.272.804,Neurogenic Bowel
11214,C06.405.469.158.356,Colorectal Neoplasms
11215,C06.405.469.158.356.090,Adenomatous Polyposis Coli
11216,C06.405.469.158.356.090.500,Gardner Syndrome
11217,C06.405.469.158.356.180,Colonic Neoplasms
11218,C06.405.469.158.356.180.800,Sigmoid Neoplasms
11219,C06.405.469.158.356.190,"Colorectal Neoplasms, Hereditary Nonpolyposis"
11220,C06.405.469.158.587,"Diverticulosis, Colonic"
11221,C06.405.469.158.587.500,"Diverticulitis, Colonic"
11222,C06.405.469.158.701,Megacolon
11223,C06.405.469.158.701.439,Hirschsprung Disease
11224,C06.405.469.158.701.591,"Megacolon, Toxic"
11225,C06.405.469.158.850,Sigmoid Diseases
11226,C06.405.469.158.850.790,Proctocolitis
11227,C06.405.469.158.850.850,Sigmoid Neoplasms
11228,C06.405.469.275,Duodenal Diseases
11229,C06.405.469.275.270,Duodenal Neoplasms
11230,C06.405.469.275.395,Duodenal Obstruction
11231,C06.405.469.275.395.890,Superior Mesenteric Artery Syndrome
11232,C06.405.469.275.600,Duodenitis
11233,C06.405.469.275.700,Duodenogastric Reflux
11234,C06.405.469.275.800,Peptic Ulcer
11235,C06.405.469.275.800.348,Duodenal Ulcer
11236,C06.405.469.275.800.523,"Esophagitis, Peptic"
11237,C06.405.469.275.800.698,Peptic Ulcer Perforation
11238,C06.405.469.275.800.849,Stomach Ulcer
11239,C06.405.469.275.800.924,Zollinger-Ellison Syndrome
11240,C06.405.469.300,Dysentery
11241,C06.405.469.300.312,"Dysentery, Amebic"
11242,C06.405.469.300.479,"Dysentery, Bacillary"
11243,C06.405.469.326,Enteritis
11244,C06.405.469.326.750,Duodenitis
11245,C06.405.469.326.875,Ileitis
11246,C06.405.469.326.875.500,Pouchitis
11247,C06.405.469.363,Enterocolitis
11248,C06.405.469.363.700,"Enterocolitis, Necrotizing"
11249,C06.405.469.363.750,"Enterocolitis, Neutropenic"
11250,C06.405.469.363.800,"Enterocolitis, Pseudomembranous"
11251,C06.405.469.400,HIV Enteropathy
11252,C06.405.469.420,Ileal Diseases
11253,C06.405.469.420.501,Ileal Neoplasms
11254,C06.405.469.420.520,Ileitis
11255,C06.405.469.420.520.500,Pouchitis
11256,C06.405.469.432,Inflammatory Bowel Diseases
11257,C06.405.469.432.249,"Colitis, Ulcerative"
11258,C06.405.469.432.500,Crohn Disease
11259,C06.405.469.445,Intestinal Atresia
11260,C06.405.469.452,"Intestinal Diseases, Parasitic"
11261,C06.405.469.452.060,Anisakiasis
11262,C06.405.469.452.146,Balantidiasis
11263,C06.405.469.452.250,Blastocystis Infections
11264,C06.405.469.452.269,Cryptosporidiosis
11265,C06.405.469.452.275,Dientamoebiasis
11266,C06.405.469.452.396,"Dysentery, Amebic"
11267,C06.405.469.452.481,Giardiasis
11268,C06.405.469.471,Intestinal Fistula
11269,C06.405.469.471.600,Rectal Fistula
11270,C06.405.469.471.600.650,Rectovaginal Fistula
11271,C06.405.469.491,Intestinal Neoplasms
11272,C06.405.469.491.184,Cecal Neoplasms
11273,C06.405.469.491.184.290,Appendiceal Neoplasms
11274,C06.405.469.491.307,Colorectal Neoplasms
11275,C06.405.469.491.307.090,Adenomatous Polyposis Coli
11276,C06.405.469.491.307.090.500,Gardner Syndrome
11277,C06.405.469.491.307.180,Colonic Neoplasms
11278,C06.405.469.491.307.180.800,Sigmoid Neoplasms
11279,C06.405.469.491.307.190,"Colorectal Neoplasms, Hereditary Nonpolyposis"
11280,C06.405.469.491.307.790,Rectal Neoplasms
11281,C06.405.469.491.307.790.040,Anus Neoplasms
11282,C06.405.469.491.307.790.040.040,Anal Gland Neoplasms
11283,C06.405.469.491.445,Duodenal Neoplasms
11284,C06.405.469.491.501,Ileal Neoplasms
11285,C06.405.469.491.505,Immunoproliferative Small Intestinal Disease
11286,C06.405.469.491.523,Jejunal Neoplasms
11287,C06.405.469.531,Intestinal Obstruction
11288,C06.405.469.531.099,Afferent Loop Syndrome
11289,C06.405.469.531.311,Duodenal Obstruction
11290,C06.405.469.531.424,Fecal Impaction
11291,C06.405.469.531.492,Ileus
11292,C06.405.469.531.492.500,Intestinal Pseudo-Obstruction
11293,C06.405.469.531.492.500.217,Colonic Pseudo-Obstruction
11294,C06.405.469.531.568,Intestinal Volvulus
11295,C06.405.469.531.577,Intussusception
11296,C06.405.469.531.788,Meconium Ileus
11297,C06.405.469.557,Intestinal Perforation
11298,C06.405.469.578,Intestinal Polyposis
11299,C06.405.469.578.249,Adenomatous Polyposis Coli
11300,C06.405.469.578.249.393,Gardner Syndrome
11301,C06.405.469.578.750,Peutz-Jeghers Syndrome
11302,C06.405.469.600,Jejunal Diseases
11303,C06.405.469.600.523,Jejunal Neoplasms
11304,C06.405.469.637,Malabsorption Syndromes
11305,C06.405.469.637.145,Blind Loop Syndrome
11306,C06.405.469.637.250,Celiac Disease
11307,C06.405.469.637.378,Collagenous Sprue
11308,C06.405.469.637.506,Lactose Intolerance
11309,C06.405.469.637.832,Short Bowel Syndrome
11310,C06.405.469.637.850,"Sprue, Tropical"
11311,C06.405.469.637.887,Steatorrhea
11312,C06.405.469.637.925,Whipple Disease
11313,C06.405.469.656,Mesenteric Ischemia
11314,C06.405.469.675,Mesenteric Vascular Occlusion
11315,C06.405.469.778,Pneumatosis Cystoides Intestinalis
11316,C06.405.469.818,Protein-Losing Enteropathies
11317,C06.405.469.860,Rectal Diseases
11318,C06.405.469.860.101,Anus Diseases
11319,C06.405.469.860.101.163,Anus Neoplasms
11320,C06.405.469.860.101.163.083,Anal Gland Neoplasms
11321,C06.405.469.860.101.430,Fissure in Ano
11322,C06.405.469.860.101.752,Pruritus Ani
11323,C06.405.469.860.180,Colorectal Neoplasms
11324,C06.405.469.860.180.500,Rectal Neoplasms
11325,C06.405.469.860.180.500.040,Anus Neoplasms
11326,C06.405.469.860.180.500.040.040,Anal Gland Neoplasms
11327,C06.405.469.860.300,Fecal Incontinence
11328,C06.405.469.860.401,Hemorrhoids
11329,C06.405.469.860.622,Proctitis
11330,C06.405.469.860.622.790,Proctocolitis
11331,C06.405.469.860.752,Rectal Fistula
11332,C06.405.469.860.752.650,Rectovaginal Fistula
11333,C06.405.469.860.800,Rectal Prolapse
11334,C06.405.469.860.810,Rectocele
11335,C06.405.469.965,Zollinger-Ellison Syndrome
11336,C06.405.748,Stomach Diseases
11337,C06.405.748.045,Achlorhydria
11338,C06.405.748.142,"Diverticulosis, Stomach"
11339,C06.405.748.240,Duodenogastric Reflux
11340,C06.405.748.240.140,Bile Reflux
11341,C06.405.748.280,Gastric Antral Vascular Ectasia
11342,C06.405.748.300,Gastric Dilatation
11343,C06.405.748.340,Gastric Outlet Obstruction
11344,C06.405.748.340.690,Pyloric Stenosis
11345,C06.405.748.340.690.500,"Pyloric Stenosis, Hypertrophic"
11346,C06.405.748.398,Gastritis
11347,C06.405.748.398.394,"Gastritis, Atrophic"
11348,C06.405.748.398.410,"Gastritis, Hypertrophic"
11349,C06.405.748.543,Gastroparesis
11350,C06.405.748.586,Peptic Ulcer
11351,C06.405.748.586.349,Duodenal Ulcer
11352,C06.405.748.586.524,"Esophagitis, Peptic"
11353,C06.405.748.586.698,Peptic Ulcer Perforation
11354,C06.405.748.586.849,Stomach Ulcer
11355,C06.405.748.586.924,Zollinger-Ellison Syndrome
11356,C06.405.748.630,Postgastrectomy Syndromes
11357,C06.405.748.630.310,Dumping Syndrome
11358,C06.405.748.789,Stomach Neoplasms
11359,C06.405.748.824,Stomach Rupture
11360,C06.405.748.895,Stomach Volvulus
11361,C06.405.748.947,Zollinger-Ellison Syndrome
11362,C06.405.874,"Tuberculosis, Gastrointestinal"
11363,C06.405.937,Visceral Prolapse
11364,C06.552,Liver Diseases
11365,C06.552.074,alpha 1-Antitrypsin Deficiency
11366,C06.552.100,Chemical and Drug Induced Liver Injury
11367,C06.552.100.200,"Chemical and Drug Induced Liver Injury, Chronic"
11368,C06.552.150,"Cholestasis, Intrahepatic"
11369,C06.552.150.125,Alagille Syndrome
11370,C06.552.150.250,"Liver Cirrhosis, Biliary"
11371,C06.552.241,Fatty Liver
11372,C06.552.241.390,"Fatty Liver, Alcoholic"
11373,C06.552.241.519,Non-alcoholic Fatty Liver Disease
11374,C06.552.241.649,Reye Syndrome
11375,C06.552.270,Focal Nodular Hyperplasia
11376,C06.552.308,Hepatic Insufficiency
11377,C06.552.308.500,Liver Failure
11378,C06.552.308.500.177,End Stage Liver Disease
11379,C06.552.308.500.356,Hepatic Encephalopathy
11380,C06.552.308.500.750,"Liver Failure, Acute"
11381,C06.552.308.500.750.249,Acute-On-Chronic Liver Failure
11382,C06.552.308.500.750.500,Massive Hepatic Necrosis
11383,C06.552.347,Budd-Chiari Syndrome
11384,C06.552.360,Hepatic Veno-Occlusive Disease
11385,C06.552.380,Hepatitis
11386,C06.552.380.290,"Hepatitis, Alcoholic"
11387,C06.552.380.315,"Hepatitis, Animal"
11388,C06.552.380.315.430,"Hepatitis, Viral, Animal"
11389,C06.552.380.315.430.440,"Hepatitis, Infectious Canine"
11390,C06.552.380.315.430.812,Rift Valley Fever
11391,C06.552.380.350,"Hepatitis, Chronic"
11392,C06.552.380.350.100,"Hepatitis B, Chronic"
11393,C06.552.380.350.120,"Hepatitis C, Chronic"
11394,C06.552.380.350.220,"Hepatitis D, Chronic"
11395,C06.552.380.350.300,"Hepatitis, Autoimmune"
11396,C06.552.380.705,"Hepatitis, Viral, Human"
11397,C06.552.380.705.422,Hepatitis A
11398,C06.552.380.705.437,Hepatitis B
11399,C06.552.380.705.437.100,"Hepatitis B, Chronic"
11400,C06.552.380.705.440,Hepatitis C
11401,C06.552.380.705.440.120,"Hepatitis C, Chronic"
11402,C06.552.380.705.450,Hepatitis D
11403,C06.552.380.705.450.100,"Hepatitis D, Chronic"
11404,C06.552.380.705.470,Hepatitis E
11405,C06.552.413,Hepatolenticular Degeneration
11406,C06.552.416,Hepatomegaly
11407,C06.552.455,Hepatopulmonary Syndrome
11408,C06.552.465,Hepatorenal Syndrome
11409,C06.552.494,"Hypertension, Portal"
11410,C06.552.494.414,Esophageal and Gastric Varices
11411,C06.552.597,Liver Abscess
11412,C06.552.597.517,"Liver Abscess, Amebic"
11413,C06.552.597.758,"Liver Abscess, Pyogenic"
11414,C06.552.630,Liver Cirrhosis
11415,C06.552.630.380,"Liver Cirrhosis, Alcoholic"
11416,C06.552.630.400,"Liver Cirrhosis, Biliary"
11417,C06.552.630.467,"Liver Cirrhosis, Experimental"
11418,C06.552.645,"Liver Diseases, Alcoholic"
11419,C06.552.645.390,"Fatty Liver, Alcoholic"
11420,C06.552.645.490,"Hepatitis, Alcoholic"
11421,C06.552.645.590,"Liver Cirrhosis, Alcoholic"
11422,C06.552.664,"Liver Diseases, Parasitic"
11423,C06.552.664.272,"Echinococcosis, Hepatic"
11424,C06.552.664.424,Fascioliasis
11425,C06.552.664.642,"Liver Abscess, Amebic"
11426,C06.552.697,Liver Neoplasms
11427,C06.552.697.040,"Adenoma, Liver Cell"
11428,C06.552.697.160,"Carcinoma, Hepatocellular"
11429,C06.552.697.580,"Liver Neoplasms, Experimental"
11430,C06.552.802,Peliosis Hepatis
11431,C06.552.830,"Porphyrias, Hepatic"
11432,C06.552.830.074,"Coproporphyria, Hereditary"
11433,C06.552.830.100,Porphyria Cutanea Tarda
11434,C06.552.830.150,"Porphyria, Acute Intermittent"
11435,C06.552.830.437,"Porphyria, Hepatoerythropoietic"
11436,C06.552.830.625,"Porphyria, Variegate"
11437,C06.552.830.812,"Protoporphyria, Erythropoietic"
11438,C06.552.933,"Tuberculosis, Hepatic"
