ncRNA Symbol,ncRNA Category,Species,Disease Name,Sample,Dysfunction Pattern,Validated Method,Description,Clinical Application,Causality,Causal Description,PubMed ID
NR2F1-AS1,LncRNA,Homo sapiens,Uterine Cervical Neoplasms,CC tissues and cell lines,Interaction( miR-642a-3p/NR2F1 Axis),Western Blot//Transfection//qRT-PCR//MTT//Transwell Assay,"NR2F1-AS1 expression was clearly downregulated in CC tissues and cell lines. Molecular mechanistic experiments showed that NR2F1-AS1 overexpression upregulated NR2F1 expression in CC cells by directly binding to miR-642a-3p, and inhibiting by this way cell viability, proliferation, migration, and invasion in CC. Rescue assays showed that NR2F1 knockdown or miR-642a-3p overexpression offset NR2F1-AS1 upregulation-induced inhibition on CC cell malignant phenotypes.",,Yes," Molecular mechanistic experiments showed that NR2F1-AS1 overexpression upregulated NR2F1 expression in CC cells by directly binding to miR-642a-3p, and inhibiting by this way cell viability, proliferation, migration, and invasion in CC. Rescue assays showed that NR2F1 knockdown or miR-642a-3p overexpression offset NR2F1-AS1 upregulation-induced inhibition on CC cell malignant phenotypes.",36087939
Miat,LncRNA,Rattus norvegicus,Parkinson Disease,PD rats,Interaction( miR-34-5p/SYT1),FISH//Luciferase Report Assay//Tunel," Compared with the normal rats, the downregulation of MIAT was observed in the cortex, hippocampus, substantia nigra, and striatum of the PD rats. Through RNA-sequencing of the PD mice treated with an overexpression of MIAT and through a differentially expressed genes analysis, it was hypothesized that MIAT could upregulate the expression of synaptotagmin-1 (SYT1) through sponging of miR-34-5p. Interactions between MIAT, miR-34-5p, and SYT1 were confirmed using RIP and dual-luciferase reporter assays. ",,Yes,Overexpression of MIAT exhibited a neuroprotective effect on the SH-SY5Y cells. ,34650678
NCK1-DT,LncRNA,Homo sapiens,Glioma,glioma tissues and cells,"regulation[Wnt/β-catenin pathway,miR-138-2-3p]",qRT-PCR//RNA Pull-Down//Luciferase Report Assay//RIP," High expression of NCK1-AS1 was found in glioma tissues and cells, especially in U251 cells. Our study suggested that NCK1-AS1 might elevate TRIM24 expression and further activate the Wnt/β-catenin pathway via acting as a ceRNA for miR-138-2-3p.",,Yes,"Artificial silencing of NCK1-AS1 or up-regulation of miR-138-2-3p led to inhibited proliferation, invasion and migration but promoted cell apoptosis of U251 cells, while up-regulation of TRIM24 reversed these changes, and it activated the Wnt/β-catenin pathway. The in vitro results were reproduced in in vivo experiments.",32293515
NR2F1-AS1,LncRNA,Homo sapiens,Osteosarcoma,OS tissues,regulation[miR-485-5p/miR-218-5p/BIRC5 axis],Western Blot//CCK8//qRT-PCR//Luciferase Report Assay//Transwell Assay," The present study demonstrated that NR2F1?AS1 expression is markedly increased in OS, and NR2F1?AS1 was shown to exert oncogenic functions in OS.  Finally, it was revealed that silencing of NR2F1‑AS1 repressed the OS cell malignant phenotype by binding with miR‑485‑5p and miR‑218‑5p, and then downregulating BIRC5 expression, which suggests that the NR2F1‑AS1/miR‑485‑5p/miR‑218‑5p/BIRC5 axis could be a potential target for treating OS.",,Yes,"Furthermore, a series of experiments suggested that NR2F1?AS1 affects the proliferation, migration, invasion and apoptosis of OS cells by regulating BIRC5. ",32945459
NCK1-DT,LncRNA,Homo sapiens,Nasopharyngeal carcinoma,cell lines,Regulation[Upregulating miR-135a],qRT-PCR//Transwell Assay," In the present study, we found that the plasma levels of NCK1-AS1 were significantly higher in NPC patients than the levels in patients with arthritis of the temporomandibular joint (TMJ), as well as healthy participants.The downregulation of lncRNA NCK1-AS1 inhibited cancer cell migration and invasion in NPC by upregulating miR-135a."," In the present study, we found that the plasma levels of NCK1-AS1 were significantly higher in NPC patients than the levels in patients with arthritis of the temporomandibular joint (TMJ), as well as healthy participants. No significant difference in plasma levels of NCK1-AS1 was found between TMJ patients and healthy participants. Upregulation of NCK1-AS1 distinguished NPC patients from TMJ patients and healthy participants. ",Yes,"NCK1-AS1 siRNA silencing and miR-135a overexpression resulted in inhibited cell migration and invasion, and miR-135a inhibition attenuated the effects of NCK1-AS1 siRNA silencing.",31908525
MVIH,LncRNA,Homo sapiens,Chlorophyll A,"PDAC tissues,cell lines",Expression[highly expressed],qRT-PCR,Lnc-MVIH expression was higher in human PDAC cell lines than human normal pancreatic ductal epithelial cell line. ," In PDAC patients, lnc-MVIH expression was increased in tumor tissue and correlated with advanced tumor size, lymph node metastasis, TNM stage and poor OS.",Yes," Cell proliferation, migration and invasion were increased in OE-MVIH group compared to OE-NC group, but decreased in KD-MVIH group compared to KD-NC group.",32509206
MEG3,LncRNA,Homo sapiens,Glioma,glioma cells,regulation[ miR-6088/SMARCB1 Axis],qRT-PCR//Luciferase Report Assay," MEG3 and SMARCB1 expressions were downregulated in glioma cells.Collectively, the evidence in this study indicated that MEG3 was downregulated in glioma cells and inhibited proliferation and migration of glioma cells via regulating miR-6088/SMARCB1 axis.",,Yes,"Transfection of pcDNA3.1-MEG3 or pcDNA3.1-SMARCB1 plasmids could clearly block cell proliferation, migration, and EMT progression.",32420340
MVIH,LncRNA,Homo sapiens,Glioblastoma, GB cells and tissues,Interaction(miR-302a ),Cell Cycle Assay//qPCR//Bioinformatics Analysis//Western Blot,"The lncRNA associated with microvascular invasion in hepatocellular carcinoma (lncRNA-MVIH), overexpressed in several cancers, was described to co-precipitate with phosphoglycerate kinase 1 (PGK1), preventing secretion of this enzyme to the extracellular environment and promoting cell migration and invasion.  We found that the levels of miR-302a loaded onto RISC increased in GB cells after lncRNA-MVIH silencing, with the consequent downregulation of several miR-302a molecular targets. Our findings suggest a new mechanism of action of lncRNA-MVIH as a sponge of miR-302a. ",,Yes," We observed that lncRNA-MVIH silencing in human GB cells significantly decreased glycolysis, cell growth, migration, and invasion and sensitized GB cells to cediranib. ",33438023
hsa_circ_03955,CircRNA,Homo sapiens,Pancreatic Neoplasms,PC clinical samples,Interaction(miR-3662/HIF-1α axis),Transfection//Flow Cytometry//qRT-PCR//Cell Proliferation Assay//Colony Formation Assay,"In this study, it was investigated that circ_03955 was up-regulated in PC clinical samples as well as PC cell lines and associated with poor clinical outcomes of PC patients.Mechanistically, bioinformatics analysis indicated that circ_03955 acts as a sponge for microRNA (miR)-3662, and hypoxia-inducible factor 1ɑ (HIF-1ɑ) was one of the transcriptional targets of miR-3662. ","In this study, it was investigated that circ_03955 was up-regulated in PC clinical samples as well as PC cell lines and associated with poor clinical outcomes of PC patients.",Yes,Functional assays revealed that circ_03955 exerts a certain stimulative effect on the growth of PC cells in vitro and in vivo. Circ_03955 also inhibited apoptosis and promotes Warburg effect in PC cells. ,33864618
Miat,LncRNA,Rattus norvegicus,Cerebral Ischaemia/Reperfusion Injury,rat cortical neurons,Interaction(EGLN2 ),RNA Pull-Down//Western Blot//Co-IP//Tunel//qRT-PCR//IF,"Results showed that MIAT interacted with EGLN2 in rat cortical neurons.  In contrast, MIAT overexpression increased EGLN2 stability after I/R injury via reducing its ubiquitin-mediated degradation. EGLN2 was a substrate of MDM2, a ubiquitin E3 ligase. MDM2 interacted with the N-terminal of EGLN2 and mediated its K48-linked poly-ubiquitination, thereby facilitating its proteasomal degradation. In conclusion, MIAT might act as a stabilizer of EGLN2 via reducing MDM2 mediated K48 poly-ubiquitination. MIAT-EGLN2 axis exacerbates I/R injury via altering redox homeostasis in neurons.",,Yes, MIAT overexpression enhanced infarct volume and induced a higher ratio of neuronal apoptosis. EGLN2 knockdown significantly reversed the injury. ,34687132
NCK1-DT,LncRNA,Homo sapiens,Squamous Cell Carcinoma of Head and Neck,LSCC cell lines,Interaction(miR-137/NCK1 Axis),Western Blot//Transfection//Wound Healing Assay//Tunel//qRT-PCR//Cell Proliferation Assay//Transwell Assay,"NCK1-AS1 was highly expressed in LSCC cell lines. NCK1, an adjacent gene of NCK1-AS1, is also highly expressed in LSCC cells and was positively regulated by NCK1-AS1. Moreover, NCK1-AS1 interact with miR-137 to upregulate NCK1 expression. NCK1 was the downstream target of miR-137 and was negatively correlated to miR-137. In addition, overexpressed NCK1 reversed the suppressive impact of NCK1-AS1 depletion on malignant behaviors of LSCC cells. ",,Yes,"NCK1-AS1 depletion suppressed LSCC cell viability, proliferation, invasion, and migration while enhancing cell apoptosis. ",35218517
NR2F1-AS1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular",HCC cells,Interaction(miR-642a/DEK Pathway),qRT-PCR,"NR2F1-AS1 was significantly upregulated in HCC and associated with the poor prognosis of HCC patients. Biological function experiments revealed that the silence of NR2F1-AS1 suppressed cell invasion and migration in HCC. More importantly, NR2F1-AS1 directly interacted with miR-642a and negatively regulated miR-642a. DEK was the target of miR-642a, and NR2F1-AS1 positively regulated DEK expression by suppressing miR-642a.",NR2F1-AS1 was significantly upregulated in HCC and associated with the poor prognosis of HCC patients. ,Yes,Biological function experiments revealed that the silence of NR2F1-AS1 suppressed cell invasion and migration in HCC. ,34594378
NR2F1-AS1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular", human hepatoma cells,Expression(highly expressed),CCK8//qRT-PCR//Western Blot," The NR2F1-AS1 and H19 levels were high in human hepatoma cells, and AUCs of lncRNA NR2F1-AS1 and lncRNA H19 were both >0.8. ",The lncRNA NR2F1-AS1 and lncRNA H19 were associated with HCC staging. ,Yes,"After transfection of pcDNA3.1-NR2F1-AS1, si-NR2F1-AS1, NC, pcDNA3.1-H19, si-H19 BEL-7402 and Huh-7 cells, silencing NR2F1-AS1 and H19 expression can promote apoptosis and inhibit cell growth, while silencing their over-expression can inhibit the EMT process of Huh-7 cells.",33568940
NR2F1-AS1,LncRNA,Homo sapiens,Colorectal Neoplasms,CRC tissue,regulation[miR-371a-3p/TOB1 Axis],CCK8//qRT-PCR//Luciferase Report Assay//Western Blot," It was observed that NR2F1-AS1 was downregulated in CRC and predicted poor survival.In conclusion, NR2F1-AS1 regulates miR-371a-3p/TOB1 axis to suppress proliferation of CRC cells.", It was observed that NR2F1-AS1 was downregulated in CRC and predicted poor survival.,Yes,Cell proliferation analysis revealed reduced proliferation rate of CRC cells after NR2F1-AS1 and TOB1 overexpression.,32407174
NR2F1-AS1,LncRNA,Homo sapiens,Esophageal Squamous Cell Carcinoma,cell lines,Regulation[Hedgehog signaling pathway],Northern Blot//ChIP//Western Blot//CCK8//qRT-PCR//FISH//Luciferase Report Assay//Microarray//Colony Formation Assay//EdU Staining//Transwell Assay,"In this study, a markedly elevated expression of NR2F1-AS1 was discovered in ESCC cells. Briefly, NR2F1-induced NR2F1-AS1 promotes ESCC progression through activation of Hedgehog signaling pathway.",,Yes,Functional assays demonstrated that NR2F1-AS1 deficiency repressed ESCC progression.,31530388
NR2F1-AS1,LncRNA,Homo sapiens,"Carcinoma, Non-Small-Cell Lung",NSCLC cells,Interaction(miR-363-3p/SOX4),Western Blot//CCK8//qRT-PCR//Luciferase Report Assay//Transwell Assay,"The relationships among NR2F1-AS1, miR-363-3p, and SOX4 were detected via dual-luciferase reporter assay. HK-2, GLS1, and SOX4 levels were also analyzed. We found that both NSCLC tissues and cells had higher levels of NR2F1-AS1. Silencing of NR2F1-AS1 inhibited the tumorigenicity of cells in vitro and reduced the glycolysis and glutamine metabolism of NSCLC cells. Regarding its mechanism, NR2F1-AS1 positively regulated the SOX4 level by sponging miR-363-3p. Furthermore, miR-363-3p inhibition or SOX4 overexpression reversed the repressing role of sh-NR2F1-AS1 in the tumorigenicity of NSCLC cells. In summary, NR2F1-AS1 promotes the tumorigenicity of NSCLC cells by regulating miR-363-3p/SOX4.",,Yes,Silencing of NR2F1-AS1 inhibited the tumorigenicity of cells in vitro and reduced the glycolysis and glutamine metabolism of NSCLC cells.,34993348
Miat,LncRNA,Mus musculus,"Hypertension, Pulmonary","pulmonary tissues,cell line",regulation[ Nrf2 pathway],Western Blot//CCK8//qRT-PCR//Luciferase Report Assay//Transwell Assay," MIAT was upregulated in both in vivo and in vitro HPH models, while miR-29a-5p was downregulated.MIAT promotes proliferative and migratory abilities, as well as oxidative stress in hypoxia-induced HPAECs by targeting miR-29a-5p, thus aggravating the development of HPH.",,Yes,"Knockdown of MIAT suppressed viability, migratory ability, and oxidative stress in hypoxia-induced HPAECs.",32964992
NCK1-DT,LncRNA,Homo sapiens,Squamous Cell Carcinoma of Head and Neck,blood,regulation[downregulating miR-100],qRT-PCR//Transwell Assay,"The expression of NCK1-AS1 was upregulated in early-stage OSCC patients but not in OU patients. Therefore, NCK1-AS1 may promote the metastasis of OSCC by downregulating miR-100.",,Yes,Overexpression of NCK1-AS1 was followed by promoted OSCC cell invasion and migration.,33194849
NCK1-DT,LncRNA,Homo sapiens,Urinary Bladder Neoplasms,UBC tissues and cells,regulation[Downregulating miR-143],Flow Cytometry//qRT-PCR//Luciferase Report Assay,"It was observed that NCK1-AS1 was up-regulated, while miR-143 was down-regulated in tumor tissues than in adjacent healthy tissues of urinary bladder cancer (UBC) patients. Therefore, NCK1-AS1 promotes cancer cell proliferation and increases cell stemness in UBC patients by down-regulating miR-143.", A 5-year survival analysis showed that the survival rate of patients with high NCK1-AS1 level or low miR-143 level in tumor tissues appears relatively low.,Yes,NCK1-AS1 over-expression led to promoted proliferation and increased percentage of CD133+ (stemness) cells.,32184669
circFGFR1,CircRNA,Homo sapiens,Glioblastoma, glioma cells,Interaction(hsa-miR-224-5p/CXCR4),In Vivo Experiment//RNA Pull-Down//Western Blot//qRT-PCR//RIP//Luciferase Report Assay//Cell Proliferation Assay//Transwell Assay," Here, we state that circFGFR1 is elevated in glioma cells, resulting in aggravated glioma aggravated malignancy. Furthermore, CXCR4 level in glioma cells is positively correlated with circFGFR1 level, and higher CXCR4 expression is found in circFGFR1 overexpression groups.Then, RIP, RNA pull-down, and luciferase reporter assay results showed that hsa-miR-224-5p directly binds to circFGFR1 and CXCR4 mRNA. The CXCR4 3'-untranslated region (UTR) activated luciferase activity was reduced with hsa-miR-224-5p transfection, while it is reversed when cotransfected with circFGFR1, indicating that circFGFR1 acts as a hsa-miR-244-5p sponge to increase CXCR4 expression. ",,Yes,The upregulation of circFGFR1 also promotes glioma growth in mouse xenograft models.The effect of circFGFR1 on glioma malignancy is abolished in CXCR4 knockout cells. ,35059468
NCK1-DT,LncRNA,Homo sapiens,Stomach Neoplasms,GC tissues and cells,regulation[ Regulating miR-137/NUP43 Axis],Wound Healing Assay//CCK8//qRT-PCR//RIP//Luciferase Report Assay//Colony Formation Assay//Transwell Assay,"NCK1-AS1 was found to have elevated expression in GC tissues and cells in comparison with normal counterparts.  In conclusion, the NCK1-AS1/miR-137/NUP43 axis was identified that could contribute to GC malignancy behaviors.",,Yes,"Loss-of-function experiments showed knockdown of NCK1-AS1 refrained GC cell proliferation, colony formation, migration, and invasion in vitro. Animal experiments showed silence of NCK1-AS1 suppresses tumor growth in vivo.",33116577
NCK1-DT,LncRNA,Homo sapiens,Stomach Neoplasms,gastric cancer tissues and cells,Interaction(miR-22-3p/BCL9 axis to activate the Wnt/β-catenin signaling),In Vivo Experiment//Western Blot//Wound Healing Assay//qRT-PCR//FISH//RIP//MTT//Luciferase Report Assay//Colony Formation Assay//Bioinformatics Analysis//Transwell Assay,"Reverse transcription quantitative polymerase chain reaction demonstrated that NCK1-AS1 exhibited high expression in gastric cancer tissues and cells. . Luciferase reporter and RIP assays suggested that NCK1-AS1 functioned as a competitive endogenous RNA (ceRNA) for miR-22-3p to positively modulate BCL9 expression. BCL9 was a target gene of miR-22-3p. According to western blot analysis and TOP/FOP flash assay, NCK1-AS1 activated the Wnt/β-catenin signaling via the miR-22-3p/BCL9 axis. ",,Yes," In vitro assays including MTT, colony formation, Transwell, wound healing and sphere formation assays indicated that NCK1-AS1 depletion inhibited cell proliferation, migration, invasion and stemness maintenance",33974352
NCK1-DT,LncRNA,Homo sapiens,"Carcinoma, Non-Small-Cell Lung",NSCLC specimens and cell lines,interaction[adsorb miR-137 ],qRT-PCR//Luciferase Report Assay//RNA Pull-Down," We observed that NCK1-AS1 expression was upregulated, while miR-137 expression was down-regulated in NSCLC specimens and cell lines. Moreover, NCK1-AS1 was able to adsorb miR-137 via a sponge effect. Overall, our findings suggested that NCK1-AS1 may be a candidate biomarker and a target for new therapies in NSCLC patients.",Increased NCK1-AS1 expression was positively correlated with TNM stage and lymph node metastasis and poor clinical outcome. ,Yes,"Functionally, knockdown of NCK1-AS1 suppressed the proliferation, migration and invasion of NSCLC cells, and promoted apoptosis. ",33194081
NCK1-DT,LncRNA,Homo sapiens,"Carcinoma, Non-Small-Cell Lung",NSCLC tissues and cells,regulation[miR-512-5p/p21 axis],Western Blot//CCK8//qRT-PCR//Flow Cytometry//RIP//Luciferase Report Assay//BrdU//Transwell Assay,"NCK1-AS1 expression was up-regulated in NSCLC tissues and cells, and its high expression was correlated with shorter overall survival time and faster progression of patients.  NCK1-AS1 promotes NSCLC progression by regulating miR-512-5p/p21 molecular axis.","NCK1-AS1 expression was up-regulated in NSCLC tissues and cells, and its high expression was correlated with shorter overall survival time and faster progression of patients. ",Yes,"Overexpression of NCK1-AS1 promoted NSCLC cell proliferation, migration and invasion, and accelerated the cell cycle, whereas NCK1-AS1 siRNA inhibited these malignant biological behaviors, and arrested cell cycle. ",32858372
MIAT,LncRNA,Homo sapiens,Sepsis-Induced Myocardial Depression,"cardiomyocyte,  Venous blood samples of 62 patients with sepsis",Regulation(NF-κB axis),Western Blot//Flow Cytometry//qRT-PCR//MTT//H&E Staining//ELISA,"MIAT was highly expressed in SIMD patients. Silencing MIAT alleviated inflammation and apoptosis and improved myocardial function in SIMD rats by downregulating the NF-κB axis. In LPS-induced H9C2 cardiomyocytes, silencing MIAT alleviated inflammation and oxidative stress and inhibited apoptosis by downregulating the NF-κB axis, thus mitigating cardiomyocyte injury.",,Yes,"Silencing MIAT alleviated inflammation and apoptosis and improved myocardial function in SIMD rats by downregulating the NF-κB axis. In LPS-induced H9C2 cardiomyocytes, silencing MIAT alleviated inflammation and oxidative stress and inhibited apoptosis by downregulating the NF-κB axis, thus mitigating cardiomyocyte injury.",35636204
NR2F1-AS1,LncRNA,Homo sapiens,Endometrial Neoplasms,"EC tissues,cell lines",Interaction[PI3K/AKT/GSK-3β pathway],qRT-PCR,"The expression level of NR2F1-AS1 in tumor tissues and EC cells was measured.miR-363 was negatively regulated by NR2F1-AS1. SOX4 was a target of miR-363. NR2F1-AS1 functioned on EC progression via PI3K/AKT/GSK-3β pathway. The results demonstrated that NR2F1-AS1 was highly expressed in EC, which involved in the proliferation and migration of EC cells through downregulation of miR-363 to target SOX4 and regulating PI3K/AKT/GSK-3β pathway.",,Yes,"NR2F1-AS1 inhibition decreased EC cell viability, migration and invasion, while promoted cell apoptosis. ",31109400
NR2F1-AS1,LncRNA,Homo sapiens,Melanoma,melanoma tumors and cells,Interaction(miR-493-5p/GOLM1 axis),In Vivo Experiment//RNA Pull-Down//ChIP//Western Blot//Wound Healing Assay//qRT-PCR//Luciferase Report Assay//Cell Proliferation Assay//Colony Formation Assay//EdU Staining//Transwell Assay,"Up-regulated NR2F1-AS1 and down-regulated miR-493-5p were detected in melanoma tumors and cells.The overexpression of NR2F1-AS1 was induced by STAT3. High NR2F1-AS1 expression was correlMoreover, NR2F1-AS1 was able to up-regulate GOLM1 through recognizing and binding miR-493-5p. Furthermore, knockdown of miR-493-5p distinctly reversed these inhibitory effects of NR2F1-AS1 down-regulation on the tumorigenesis and progression of melanoma.ated to advanced tumor stage and poor prognosis of melanoma. ",The overexpression of NR2F1-AS1 was induced by STAT3. High NR2F1-AS1 expression was correlated to advanced tumor stage and poor prognosis of melanoma. ,Yes,"Functional studies using CCK-8, Edu, transwell and wound healing assays revealed that the proliferative, migratory and invasive capacities of melanoma cells were attenuated by the by inhibition of NR2F1-AS1. ",33822440
MEG3,LncRNA,Homo sapiens,Breast Neoplasms, breast cancer tissues and cell lines,Interaction(p53 ),Western Blot//Co-IP//Migration Assay//Flow Cytometry//qRT-PCR//RIP//Luciferase Report Assay//IHC//Invasion Assay,"UXT was upregulated, while MEG3 was downregulated in breast cancer tissues and cell lines.  Hypermethylation of the MEG3 imprinting control region was modulated by highly expressed DNMT3b. UXT inhibited MEG3 expression via recruiting DNMT3b to its imprinting control region. MEG3 positively regulated p53 activity. UXT negatively regulated the MEG3/p53 axis in a DNMT3b-dependent manner to promote tumor growth. ",,Yes,"UXT knockdown or MEG3 overexpression inhibited cell proliferation, promoted apoptosis, and weakened cell migration and invasion. ",35229028
NCK1-DT,LncRNA,Homo sapiens,"Carcinoma, Non-Small-Cell Lung",NSCLC tissues,Expression(highly expressed),Western Blot//CCK8//qRT-PCR//Flow Cytometry//Colony Formation Assay, The results of qRT-PCR showed that the expression of NCK1-AS1 was up-regulated in 50 out of 64 cases of NSCLC tissues. The results of qRT-PCR revealed that the expression of NCK1-AS1 was also up-regulated in NSCLC cells. ," It was found via statistical analysis that highly expressed NCK1-AS1 was positively correlated with tumor size, TNM stage and lymph node metastasis. ",Yes," After interference in the expression of NCK1-AS1, the proliferation of NSCLC cells was inhibited, and the cell cycle was arrested at G2/M phase. ",33629305
MEG3,LncRNA,Homo sapiens,Breast Neoplasms,breast cancer tissues and cells,Interaction[PI3K/Akt pathway],qRT-PCR,"Our findings showed that MEG3 was downregulated and miR-21 was upregulated in breast cancer patient tissues and cells. In summary, MEG3 overexpression inhibited the tumorigenesis of breast cancer by downregulating miR-21 through the PI3K/Akt pathway.
",,Yes,"MEG3 overexpression suppressed cell proliferation and glycolysis, and induced apoptosis in breast cancer cells. ",30389444
MTORT1,LncRNA,Homo sapiens,Breast Neoplasms, breast cancer cells,Interaction(miR-26a-5p/CREB1 and STK4),Wound Healing Assay//qRT-PCR//RIP//MTT//Luciferase Report Assay//Colony Formation Assay,"Our results showed that MTORT1 had low endogenous expression levels in breast cancer cells and was mainly located in the mitochondria. MTORT1 served as sponge of miR-26a-5p to up-regulate its target genes, CREB1 and STK4. ",,Yes,"Knockdown of MTORT1 enhanced cell proliferation and migration, implying a tumor suppressor role of this novel mitochondrial lncRNA.",34141617
hsa_circ_0030167,CircRNA,Homo sapiens,Pancreatic Neoplasms,PC cells,Interaction(miR-338-5p/wif1/Wnt 8/β-catenin axis),Western Blot//Wound Healing Assay//Migration Assay//CCK8//FISH//Flow Cytometry//qRT-PCR//Colony Formation Assay//Invasion Assay,"We revealed that circ_0030167 mainly regulates miR-338-5p, enhances Wif1 expression, and inhibits the Wnt8/β-catenin pathway, thereby inhibiting the stemness of PC cells and tumor progression. Overall, BM-MSC exosomal circ_0030167 contributes to the progression and stemness of PC cells via the miR-338-5p/wif1/Wnt 8/β-catenin axis. ",,Yes,"We revealed that circ_0030167 mainly regulates miR-338-5p, enhances Wif1 expression, and inhibits the Wnt8/β-catenin pathway, thereby inhibiting the stemness of PC cells and tumor progression. Overall, BM-MSC exosomal circ_0030167 contributes to the progression and stemness of PC cells via the miR-338-5p/wif1/Wnt 8/β-catenin axis. ",33971282
circFOXM1,CircRNA,Homo sapiens,Glioblastoma,GBM tumor tissues and cells,Interaction(miR-577/E2F5 axis),In Vivo Experiment//RNA Pull-Down//Western Blot//Transfection//Migration Assay//qRT-PCR//RIP//Luciferase Report Assay//Cell Proliferation Assay//Invasion Assay,"Our results showed that circFOXM1 was highly expressed in GBM tumor tissues and cells. MiR-577 could be sponged by circFOXM1, and its inhibitor could reverse the suppressive effect of circFOXM1 downregulation on GBM progression. E2F5 was a target of miR-577, and the effect of its knockdown on GBM progression was consistent with that of circFOXM1 silencing. CircFOXM1 positively regulated E2F5 expression, while miR-577 negatively regulated E2F5 expression. ",,Yes,"Silencing of cir FOXM1 inhibited GBM cell proliferation, migration, invasion, glutaminolysis, as well as tumor growth. ",34784267
NCK1-DT,LncRNA,Homo sapiens,Esophageal Squamous Cell Carcinoma, ESCC cell and tissues,Regulation( TGF-β1),qRT-PCR//Western Blot//Luciferase Report Assay//Transwell Assay," Our data showed that plasma NCK1-AS1 was overexpressed in ESCC patients and positively correlated with NCK1-AS1 expression in tumor tissues but not in non-tumor tissues. TGF-β1 expression level was also increased in tumor tissues compared to the adjacent normal tissues and positively correlated with NCK1-AS1 in tumor tissues. TGF-β1 overexpression in ESCC cells did not affect NCK1-AS1 expression, while NCK1-AS1 overexpression in ESCC cells upregulated TGF-β1.oreover, TGF-β1 and NCK1-AS1 overexpression increased ESCC cell migration and invasion, while TGF-β inhibitor reduced the effects of NCK1-AS1 overexpression. "," Moreover, high plasma NCK1-AS1 levels were accompanied with poor survival. ",Yes,"oreover, TGF-β1 and NCK1-AS1 overexpression increased ESCC cell migration and invasion, while TGF-β inhibitor reduced the effects of NCK1-AS1 overexpression. ",35311444
Miat,LncRNA,Mus musculus,Myocardial Infarction, MI mice,Interaction(miR-10a-5p/EGR2 axis),In Vivo Experiment//Western Blot//Tunel//Flow Cytometry//qRT-PCR//FISH//RIP//Luciferase Report Assay," MIAT and EGR2 were subsequently determined to be highly-expressed, whereas miR-10a-5p was found to be poorly-expressed in cardiomyocytes exposed to hypoxia as well as in MI mice using RT-qPCR and Western blot assay. The binding relationships between MIAT and miR-10a-5p, and between miR-10a-5p and EGR2 were further confirmed by dual-luciferase reporter and RNA immunoprecipitation assays. ",,Yes,"The results of in vitro and in vivo experimentation also suggested that overexpression of miR-10a-5p or silencing of MIAT and EGR2 reduced cardiomyocyte apoptosis and increased ATP content, thus alleviating the impairment of cardiac function following MI.",33819189
circZMYM4,CircRNA,Homo sapiens,Adenocarcinoma of Lung, LUAD tissues and cell lines,Interaction(miR-587/ODAM pathway),In Vivo Experiment//RNA Pull-Down//IHC//Western Blot//Transfection//Invasion Assay//Tunel//Migration Assay//CCK8//qRT-PCR//Luciferase Report Assay//Colony Formation Assay//Bioinformatics Analysis//Transwell Assay,"We found that circZMYM4 was distinctly down-regulated in LUAD tissues and cell lines. Importantly, circZMYM4 upregulated ODAM expression via sponging miR-587 to suppress LUAD progression. ",,Yes," Functional assays revealed that circZMYM4 overexpression suppressed LUAD cell proliferation, metastasis and suppressed apoptosis, while miR-587 overexpression could weaken these effects. ",34634673
hsa_circ_0060055,CircRNA,Homo sapiens,Glioblastoma, GBM tumor tissues and cells,Interaction(MiR-197-3p/API5 Axis),In Vivo Experiment//RNA Pull-Down//Western Blot//Transfection//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Colony Formation Assay//EdU Staining//Transwell Assay," Circ_0060055 was overexpressed in GBM tumor tissues and cells, and its silencing suppressed GBM cell proliferation and invasion, while promoted apoptosis and radiosensitivity.  In terms of mechanism, circ_0060055 could interact with miR-197-3p, and miR-197-3p could target API5. API5 expression also could be positively regulated by circ_0060055. Function experiments suggested that miR-197-3p inhibitor abolished the effect of circ_0060055 knockdown on GBM cell growth, invasion, and radiosensitivity. MiR-197-3p repressed GBM cell progression and improved radiosensitivity, and this effect was eliminated by API5 upregulation. ",,Yes,In vivo experiments confirmed that circ_0060055 knockdown reduced GBM tumor growth and enhanced the radiosensitivity of tumors. ,35849320
NCK1-DT,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular",HCC cells and tissues,Interaction(miR-22-3p/YARS Axis ),Western Blot//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Colony Formation Assay,"NCK1-AS1 was overexpressed in HCC cells and tissues. NCK1-AS1 controlled the availability of miR-22-3p, resulting in YARS upregulation. YARS was found to have a clinical value for HCC diagnosis. Moreover, rescue experiments revealed that miR-22-3p inhibition or YARS overexpression partially blocked the function of NCK1-AS1 deficiency in HCC cells. As for the downstream signaling pathway, we discovered that NCK1-AS1 activated PI3K/AKT signaling by the miR-22-3p/YARS axis.",,Yes, Functional assays depicted that depletion of NCK1-AS1 hampered malignant character of HCC cells. ,35306563
